1000 Gen -- Vargha and Delaney’s Aˆ12: (probability, that a run A is worse than B)
Metric:            EP	           HV	           RT
gpu_async gpu_async_2.metrics.V2	       0	       1	       1
gpu_async gpu_async_3.metrics.V2	       1	       1	       1
gpu_async gpu_async_4.metrics.V2	       1	       1	       1
gpu_async gpu_async_5.metrics.V2	       1	       1	       1
gpu_async gpu_async_6.metrics.V2	       1	       1	       1
gpu_async gpu_sync	       1	       1	   0.867
gpu_async gpu_sync_1.metrics.V2	       1	       1	       1
gpu_async gpu_sync_2.metrics.V2	       1	       1	       1
gpu_async gpu_sync_3.metrics.V2	       0	   0.133	       0
gpu_async gpu_sync_4.metrics.V2	       0	       0	       0
gpu_async gpu_sync_5.metrics.V2	       1	       1	   0.333
gpu_async gpu_sync_6.metrics.V2	       0	       0	       1
gpu_async_1.metrics.V2 gpu_async_2.metrics.V2	       1	       1	       1
gpu_async_1.metrics.V2 gpu_async_3.metrics.V2	     0.6	     0.4	   0.867
gpu_async_1.metrics.V2 gpu_async_4.metrics.V2	   0.667	   0.933	   0.933
gpu_async_1.metrics.V2 gpu_async_5.metrics.V2	       0	       1	       1
gpu_async_1.metrics.V2 gpu_async_6.metrics.V2	       1	       1	       1
gpu_async_1.metrics.V2 gpu_sync	       1	       1	       1
gpu_async_1.metrics.V2 gpu_sync_1.metrics.V2	       0	       1	       1
gpu_async_1.metrics.V2 gpu_sync_2.metrics.V2	       1	       1	       1
gpu_async_1.metrics.V2 gpu_sync_3.metrics.V2	   0.933	   0.933	   0.733
gpu_async_1.metrics.V2 gpu_sync_4.metrics.V2	       1	   0.667	   0.867
gpu_async_1.metrics.V2 gpu_sync_5.metrics.V2	       1	       1	       1
gpu_async_1.metrics.V2 gpu_sync_6.metrics.V2	       1	       1	       1
gpu_async_2.metrics.V2 gpu_async_3.metrics.V2	       1	       1	       1
gpu_async_2.metrics.V2 gpu_async_4.metrics.V2	       1	       1	       1
gpu_async_2.metrics.V2 gpu_async_5.metrics.V2	       1	       1	       1
gpu_async_2.metrics.V2 gpu_async_6.metrics.V2	       0	       1	       0
gpu_async_2.metrics.V2 gpu_sync	       0	       1	       1
gpu_async_2.metrics.V2 gpu_sync_1.metrics.V2	       1	       1	       1
gpu_async_2.metrics.V2 gpu_sync_2.metrics.V2	       1	       1	       1
gpu_async_2.metrics.V2 gpu_sync_3.metrics.V2	       1	       1	       1
gpu_async_2.metrics.V2 gpu_sync_4.metrics.V2	       1	       1	       1
gpu_async_2.metrics.V2 gpu_sync_5.metrics.V2	       0	       1	       0
gpu_async_2.metrics.V2 gpu_sync_6.metrics.V2	       0	       1	       1
gpu_async_3.metrics.V2 gpu_async_4.metrics.V2	       1	       1	       1
gpu_async_3.metrics.V2 gpu_async_5.metrics.V2	       1	       1	       1
gpu_async_3.metrics.V2 gpu_async_6.metrics.V2	       1	       1	       1
gpu_async_3.metrics.V2 gpu_sync	       1	       1	       1
gpu_async_3.metrics.V2 gpu_sync_1.metrics.V2	       1	       0	       1
gpu_async_3.metrics.V2 gpu_sync_2.metrics.V2	       1	       1	       1
gpu_async_3.metrics.V2 gpu_sync_3.metrics.V2	       1	       1	       1
gpu_async_3.metrics.V2 gpu_sync_4.metrics.V2	       1	       1	       1
gpu_async_3.metrics.V2 gpu_sync_5.metrics.V2	       1	       1	       1
gpu_async_3.metrics.V2 gpu_sync_6.metrics.V2	       1	       1	       0
gpu_async_4.metrics.V2 gpu_async_5.metrics.V2	       0	       1	       1
gpu_async_4.metrics.V2 gpu_async_6.metrics.V2	       1	       1	       1
gpu_async_4.metrics.V2 gpu_sync	       1	       1	       1
gpu_async_4.metrics.V2 gpu_sync_1.metrics.V2	       1	       1	       1
gpu_async_4.metrics.V2 gpu_sync_2.metrics.V2	       1	       1	       1
gpu_async_4.metrics.V2 gpu_sync_3.metrics.V2	       1	       1	       1
gpu_async_4.metrics.V2 gpu_sync_4.metrics.V2	       1	       1	       1
gpu_async_4.metrics.V2 gpu_sync_5.metrics.V2	       1	       1	       1
gpu_async_4.metrics.V2 gpu_sync_6.metrics.V2	       1	       1	       1
gpu_async_5.metrics.V2 gpu_async_6.metrics.V2	       1	       1	       1
gpu_async_5.metrics.V2 gpu_sync	       1	       1	       1
gpu_async_5.metrics.V2 gpu_sync_1.metrics.V2	       1	       1	       1
gpu_async_5.metrics.V2 gpu_sync_2.metrics.V2	       1	       1	       1
gpu_async_5.metrics.V2 gpu_sync_3.metrics.V2	       1	       1	       1
gpu_async_5.metrics.V2 gpu_sync_4.metrics.V2	       1	       1	       1
gpu_async_5.metrics.V2 gpu_sync_5.metrics.V2	       1	       1	       1
gpu_async_5.metrics.V2 gpu_sync_6.metrics.V2	       1	       1	       0
gpu_async_6.metrics.V2 gpu_sync	       0	       0	       0
gpu_async_6.metrics.V2 gpu_sync_1.metrics.V2	       0	       0	       0
gpu_async_6.metrics.V2 gpu_sync_2.metrics.V2	       0	       0	       0
gpu_async_6.metrics.V2 gpu_sync_3.metrics.V2	       0	       0	       0
gpu_async_6.metrics.V2 gpu_sync_4.metrics.V2	       0	       0	       0
gpu_async_6.metrics.V2 gpu_sync_5.metrics.V2	       0	       0	       0
gpu_async_6.metrics.V2 gpu_sync_6.metrics.V2	       1	       0	       1
gpu_sync gpu_sync_1.metrics.V2	       0	       0	       0
gpu_sync gpu_sync_2.metrics.V2	       0	       0	       0
gpu_sync gpu_sync_3.metrics.V2	       0	       0	       0
gpu_sync gpu_sync_4.metrics.V2	       1	       0	       0
gpu_sync gpu_sync_5.metrics.V2	       0	       0	       0
gpu_sync gpu_sync_6.metrics.V2	       0	       0	       0
gpu_sync_1.metrics.V2 gpu_sync_2.metrics.V2	       1	       0	       0
gpu_sync_1.metrics.V2 gpu_sync_3.metrics.V2	       0	       0	       0
gpu_sync_1.metrics.V2 gpu_sync_4.metrics.V2	       0	       0	       0
gpu_sync_1.metrics.V2 gpu_sync_5.metrics.V2	       0	       0	       0
gpu_sync_1.metrics.V2 gpu_sync_6.metrics.V2	       0	       0	       0
gpu_sync_2.metrics.V2 gpu_sync_3.metrics.V2	       0	       0	       0
gpu_sync_2.metrics.V2 gpu_sync_4.metrics.V2	       0	       0	       0
gpu_sync_2.metrics.V2 gpu_sync_5.metrics.V2	       0	       0	       0
gpu_sync_2.metrics.V2 gpu_sync_6.metrics.V2	       1	       1	       1
gpu_sync_3.metrics.V2 gpu_sync_4.metrics.V2	       1	       1	       1
gpu_sync_3.metrics.V2 gpu_sync_5.metrics.V2	       0	       1	       0
gpu_sync_3.metrics.V2 gpu_sync_6.metrics.V2	       0	       0	       1
gpu_sync_4.metrics.V2 gpu_sync_5.metrics.V2	       1	       0	       1
gpu_sync_4.metrics.V2 gpu_sync_6.metrics.V2	       0	       0	       0
gpu_sync_5.metrics.V2 gpu_sync_6.metrics.V2	       0	       1	       1
